Asgardian PA," This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard. The voice becomes more desperate and pleading Our crew is made up of Asgardian families, we have very few soldiers here. This is not a warcraft. I repeat, this is not a warcraft!"
Thanos, Genuinely sincere I like you.
Secretary Ross, Still no word from Vision?
James Rhodes, Satellites lost him somewhere over Edinburgh.
Secretary Ross, On a stolen Quinjet with four of the world's most wanted criminals.
James Rhodes," You know they're only criminals because you've chosen to call them that, right, sir?"
Secretary Ross," My God, Rhodes, your talent for horseshit rivals my own."
James Rhodes," If it weren't for those Accords, Vision would've been right here."
Secretary Ross," I remember your signature on those papers, Colonel."
James Rhodes, Sounding a little bitter That's right. And I'm pretty sure I've paid for that. We get a good look at his leg braces
Secretary Ross, You have second thoughts?
James Rhodes, Not anymore.
Steve Rogers, Mr. Secretary.
Secretary Ross, You got some nerve. I'll give you that.
Natasha Romanoff, You could use some of that right now.
Secretary Ross," The world's on fire. And you think, all is forgiven?"
Steve Rogers," I'm not looking for forgiveness. And I'm way past asking for permission. Earth just lost her best defender. So we're here to fight. Steve takes a step forward, looking right at Ross And if you wanna stand in our way... we'll fight you, too."
Secretary Ross, To Rhodes Arrest them.
James Rhodes," All over it. Swipes off hologram; the computer beeps twice That's a court-martial. It's great to see you, Cap."
Steve Rogers," Hugging Rhodes You too, Rhodey. Natasha gets her own embrace."
James Rhodes, Well. You guys really look like crap. Must've been a rough couple of years.
Sam Wilson," Yeah, well, the hotels weren't exactly five star."
Bruce Banner," Uh, I think you look great. Rhodes and Natasha long round to see Bruce walking in from the opposite end of the room.  Uh... heh... Yeah. I'm back."
Natasha Romanoff," Hi, Bruce."
Bruce Banner, Nat.
Sam Wilson, Whispering This is awkward.
James Rhodes," So we gotta assume they're coming back, right?"
Wanda Maximoff, And they can clearly find us.
Bruce Banner, We need all hands on deck. Where's Clint?
Natasha Romanoff," After the whole Accords situation, he and Scott took a deal. It was too tough on their families, they're on house arrest."
Bruce Banner, Who's Scott?
Steve Rogers, Ant-Man.
Bruce Banner," There's an Ant-Man and a Spider-Man? Okay, look… Thanos has the biggest army in the universe. And he is not gonna stop until he... he gets... Vision's Stone."
Natasha Romanoff," Well then, we have to protect it."
Vision," No, we have to destroy it. I've been giving a good deal of thought to this entity in my head, about its nature. But also, its composition. I think if it were exposed to a sufficiently powerful energy source, something, very similar to its own signature, perhaps… its molecular integrity could fail. Vision addresses Wanda as he nears her."
Wanda Maximoff," And you, with it. We're not having this conversation."
Vision, Eliminating the stone is the only way to be certain that Thanos can't get it.
Wanda Maximoff, That's too high a price.
Vision," Takes her face gently in both hands Only you have the power to pay it. Wanda walks away, distressed Thanos threatens half the Universe. One life cannot stand in the way of defeating him."
Steve Rogers," Eyes diverted down But it should. Looks up at Vision We don't trade lives, Vision."
Vision," Walking toward Steve Captain, 70 years ago, you laid down your life to save how many millions of people. Tell me, why is this any different?"
Bruce Banner," Because you might have a choice. Your mind is made up of a complex construct of overlays. J.A.R.V.I.S., Ultron, Tony, me, the Stone. All of them mixed together. All of them learning from one another."
Wanda Maximoff, You're saying Vision isn't just the stone?
Bruce Banner," I'm saying that if we take out the stone, there's still a whole lot of Vision left. Perhaps the best parts."
Natasha Romanoff, Can we do that?
Bruce Banner, Not me. Not here.
James Rhodes," You better find someone, and somewhere fast. Ross isn't exactly just gonna let you guys have your old rooms back."
Steve Rogers, I know somewhere.
Okoye," You'll have the Kingsguard, and the Dora Milaje have been alerted."
King T'Challa, And the Border Tribe?
Okoye, Those that are left.
King T'Challa, Send word to the Jabari as well. M'Baku likes a good fight.
Okoye, And what of this one?
King T'Challa," This one may be tired of war. James ""Bucky"" Buchanan Barnes is seen at a small distance throwing a bag from a pile on the ground onto a partly-filled cart, while two village children watch But the White Wolf has rested long enough."
Bucky Barnes, With resignation Where's the fight?
King T'Challa, On its way.
Ebony Maw," In all the time I've served Thanos, I've never failed him. If I were to reach our rendezvous on Titan with the Time Stone still attached to your vaguely irritating person, there would be... judgement. The needles start to contact Dr. Strange's face, causing an obviously painful whitish subcutaneous glow at each touch Give me... the stone."
Tony Stark," Wow you're a seriously loyal piece of outerwear, aren't you?"
Peter Parker," Yeah, uh, speaking of loyalty...."
Tony Stark, What the--
Peter Parker, I know what you're gonna say.
Tony Stark, You should not be here.
Peter Parker, I was gonna go home--
Tony Stark, I don't wanna hear it.
Peter Parker, But it was such a long way down and I just thought about you on the way...
Tony Stark, And now I gotta hear it.
Peter Parker," ...And I kinda stuck to the side of the ship. And this suit is ridiculously intuitive, by the way. So if anything, it's kinda your fault that I'm here."
Tony Stark, Seriously What did you just say?
Peter Parker, I take that back. And now I'm here in space.
Tony Stark, Yeah. Tony crosses to stand right in front of Peter Right where I don't want you to be. This isn't Coney Island. This isn't a field trip. It's a one-way ticket. You hear me? Don't pretend like you thought this through. You could not have possibly thought this through.
Peter Parker, No. I did think this through.
Tony Stark, You could not have possibly thought this through.
Peter Parker," It's just .. you can't be a friendly neighborhood Spider-Man if there's no neighborhood. He waits for Tony's reaction Okay. That didn't really make any sense, but you know what I'm trying to say."
Tony Stark," Breaths shakily Come on. We got a situation. He leads Peter over to a viewpoint on the torture below. Peter crouches to study the situation, the Cloak leaning over his shoulder. See him down there? He's in trouble. What's your plan? Go."
Peter Parker," Um. Okay, okay... uh... Peter and the Cloak pop back upright Okay. Did you ever see this really old movie, Aliens?"
Ebony Maw, Painful aren't they? They were originally designed for microsurgery. And any one of them...
Ebony Maw, ...Could end your friend's life in an instant.
Tony Stark," I gotta tell you, he's not really my friend. Saving his life is more a professional courtesy."
Ebony Maw," Walks slowly towards Iron Man, beckoning very large, very solid metal objects to float behind him You've saved nothing. Your powers are inconsequential compared to mine."
Tony Stark," Yeah, but the kid's seen more movies."
Peter Parker, Yes! Wait what are those?!
Peter Parker," Hey, we haven't officially met. He offers the Cape his hand to shake. It ignores his offer and continues to Dr. Strange. Cool."
Dr. Stephen Strange, We've gotta turn this ship around.
Tony Stark, Yeah. Now he wants to run. Great plan.
Dr. Stephen Strange," No, I want to protect the stone."
Tony Stark," Irritably And I want you to thank me now. Go ahead, I'm listening."
Dr. Stephen Strange, For what? Nearly blasting me into space?
Tony Stark, Who just saved your magical ass? Me.
Dr. Stephen Strange, I seriously don't know how you fit your head into that helmet.
Tony Stark, Admit it. You should have ducked out when I told you to. I tried to bench you. You refused.
Dr. Stephen Strange," Unlike everyone else in your life, I don't work for you."
Tony Stark," And due to that fact, we're now in a flying doughnut billions of miles away from Earth with no backup."
Peter Parker, Raises his hand I'm backup.
Tony Stark, No. You're a stowaway. Waggles a finger between himself and Dr. Strange The adults are talking.
Dr. Stephen Strange," I'm sorry, I'm confused as to the relationship here. Wh-- what is he, your ward?"
Peter Parker," No. I'm Peter, by the way."
Dr. Stephen Strange, Dr. Strange.
Peter Parker," Oh, we're using our made-up names. Um... I'm Spider-Man, then."
Tony Stark, This ship is self-correcting its course. Thing's on autopilot.
Dr. Stephen Strange, Walks closer to Tony Can we control it? Fly us home? Tony is lost in bad memories and does not respond right away. Stark?
Tony Stark, Yeah?
Dr. Stephen Strange, Can you get us home?
Tony Stark, Yeah I heard you. I'm thinking... I'm not so sure we should.
Dr. Stephen Strange, Under no circumstance can we bring the Time Stone to Thanos. I don't think you quite understand what's at stake here.
Tony Stark," Stalks over to Strange No. It's you who doesn't understand, that Thanos has been inside my head for six years since he sent an army to New York and now he's back! And I don't know what to do. So I'm not so sure if it's a better plan to fight him on our turf or his but you saw what they did, what they can do. At least on his turf, he's not expecting it. So I say we take the fight to him. Doctor. Do you concur?"
Dr. Stephen Strange," Pauses Alright, Stark. We go to him. But you have to understand... if it comes to saving you or the kid or the Time Stone... I will not hesitate to let either of you die. I can't, because the fate of the universe depends on it."
Tony Stark," Nice. Good. Moral compass. We're straight. Stepping over to Peter, he formally taps each of Peter's shoulders with the edge of his hand, dubbing him as is done at a knighting. Alright, kid. You're an Avenger now. He doesn't look at him as he says those words, knowing well what he is signing him up for."
Thanos, I thought you might be hungry.
Gamora, I always hated that chair.
Thanos, So I've been told. Even so. I'd hoped you'd sit on it one day.
Gamora, I hated this room. This ship. I hated my life.
Thanos," You told me that too. Thanos mounts two of the four steps to his throne, turns, and sits on the second from the top. Every day. For almost twenty years."
Gamora, I was a child when you took me.
Thanos, I saved you.
Gamora, No. No. We were happy on my home planet.
Thanos," Going to bed hungry, scrounging for scraps. Your planet was on the brink of collapse. I'm the one who stopped that. Do you know what's happened since then? The children born have known nothing but full bellies and clear skies. It's a paradise."
Gamora, Because you murdered half the planet.
Thanos, A small price to pay for salvation.
Gamora, You're insane.
Thanos," Little one, it's a simple calculus. This universe is finite, its resources finite. If life is left unchecked, life will cease to exist. It needs correction."
Gamora, You don't know that!
Thanos," Scowls as his egotistical narcissism prevents him from fully listening to her I'm the only one who knows that. At least, I'm the only one with the will to act on it. He stands again and walks back to Gamora For a time... you had that same will... as you fought by my side. Daughter."
Gamora, I'm not your daughter. Everything I hate about myself you taught me.
Thanos," And in doing so, made you the fiercest woman in the galaxy. That's why I trusted you to find the Soul Stone."
Gamora, I'm sorry I disappointed you.
Thanos," I am disappointed. But not because you didn't find it. Leans down to put their heads at a level, whispering fiercely But because you did. Looks at her And you lied."
Gamora, Nebula.
Gamora, Don't do this.
Thanos," Some time ago, your sister snuck aboard this ship to kill me."
Gamora, Please don't do this.
Thanos, And very nearly succeeded. So I brought her here. To talk.
Gamora," Stop. Stop it. She puts her hands on the gauntlet, pulling it down I swear to you on my life. I never found the Soul Stone."
Memory Nebula," You know what he's about to do. He's finally ready, and he's going for the stones. All of them."
Memory Gamora, He can never get them all.
Memory Nebula, He will!
Memory Gamora," He can't, Nebula. Because I found the map to the Soul Stone and I burnt it to ash. I burnt it."
Thanos," To Gamora, walking around behind her You're strong. Me. You're generous. Me. But I never taught you to lie. That's why you're so bad at it. His voice drips with disgust Where is the Soul Stone? He raises his gauntlet next to Gamora's face. Nebula shakes her head, expression terrified, to encourage her sister's silence but when Gamora does not answer, Thanos clenches the gauntlet again, brow furrowed at his adopted daughter as the Power and Space Stones are reactivated. Gamora grimaces in shared pain at her sister's screams, growing louder as Thanos increases the pressure."
Gamora," Vormir! Thanos unclenches his hand, and Nebula gasps in air as her parts snap back almost into place. Gamora goes to her and caresses her face. The Stone is on Vormir."
Thanos, Satisfied. Show me.
Groot, Irritably I am Groot.
Rocket, Tinkle in the cup. We're not looking. What's there to see? What's a twig? Everybody's seen a twig.
Groot, Still irritably I am Groot.
Thor," While looking out the rear portholes Tree, pour what's in the cup out in space, and go in the cup again."
Rocket, You speak Groot?
Thor," Yes, they taught it on Asgard. It was an elective."
Groot, Shortly I am Groot.
Thor, You'll know when we're there. Nivadellir's forge harnesses the power of a blazing neutron star. Nostalgically It's the birth place of my hammer. It's truly awesome.
Rocket," To himself Okay, time to be the captain. Walks to a console near by Thor, presses two buttons So, dead brother, huh? Yeah, that can be annoying."
Thor," Well, he's been dead before, but this time I think it really might be true."
Rocket, And you said your sister and your dad?
Thor, Both dead.
Rocket," Still got a mom, though?"
Thor, Killed by a dark elf.
Rocket, A best friend?
Thor, Stabbed through the heart.
Rocket, Are you sure you're up to this particular murder mission?
Thor," Smiling widely but also trying to convince himself Absolutely. Rage, vengeance, anger, loss, regret... they're all tremendous motivators. They really clear the mind. So I'm good to go."
Rocket," Yeah, but this Thanos we're talking about... he's the toughest there is."
Thor," Well, he's never fought me."
Rocket," Yeah, he has!"
Thor," He's never fought me twice. And I'm getting a new hammer, don't forget."
Rocket, Better be some hammer.
Thor," You know, I'm 1,500 years old. I've killed twice as many enemies as that, and every one would have rather killed me, but none succeeded. I'm only alive because fate wants me alive. Thanos is the latest in a long line of bastards and he will be the latest to feel my vengeance. Fate wills it so."
Rocket, And what if you're wrong?
Thor, If I'm wrong then... what more could I lose?
Rocket, Under his breath I could lose a lot. Me personally. I could lose a lot. Rocket takes an eyeball from somewhere on his person Okay. If fate does want you to kill that crapsack... you're gonna need more than one stupid eyeball. He gives Thor the eyeball.
Thor, What's this?
Rocket, What's it look like? Some jerk lost a bet with me on on Contraxia.
Thor, He gave you his eye?
Rocket, He gave me 100 credits. I snuck in later that night and stole his eye.
Thor," Thank you, sweet rabbit."
Rocket," Hmm. Huh? Oh. I would've washed that. The only way I could sneak it off Contraxia was up my...beeping Hey, we're here!"
Thor, Smacking his palm against the side of his head to get the eye calibrated I don't think this thing works. Everything seems dark.
Rocket, It ain't the eye.
Thor, Something's wrong. The star's gone out. And the rings are frozen.
Rocket, I hope these dwarves are better at forging than they are cleaning. Maybe they realized they live in a junk pile in the middle of space.
Thor, This forge hasn't gone dark in centuries....
Rocket," Pauses, looking at a pedestal You said Thanos had a gauntlet, right?"
Thor, Yes. Why?
Rocket," Look anything like that? In fact, it looks exactly like that"
Groot, Uneasily I am Groot.
Thor, Urgently Go back to the pod.
Thor," Eitri, wait! Stop!"
Eitri, Thor?
Thor, What happened here?
Eitri, You were supposed to protect us. Asgard was supposed to protect us!
Thor," Asgard is destroyed. Thor scrambles to his feet and points. Eitri stop his attack on Thor. He now believes Thanos had destroyed Asgard and leaving him in a similar survivor role like Eitri himself. Eitri, the glove. What did you do?"
Eitri," He walks brokenly across the space to sit heavily, leaning against an ore skip. Rocket and Groot get to their feet, the sapling checking his game. 300 dwarves lived on this ring. I thought if I did what he asked, they'd be safe. I made what he wanted. A device capable of harnessing the power of the stones. Then he killed everyone anyway. All except me. 'Your life is yours,' he said. 'But your hands are mine alone.' He holds up his immobile metal fists, encased in hardened molten metal."
Thor," Eitri, this isn't about your hands. Every weapon you've ever designed... every ax, hammer, sword... it's all inside your head. Now I know it feels like all hope is lost. Trust me, I know. But together, you and I, we can kill Thanos."
Nebula," Mantis, listen very carefully. I need you to meet me on Titan."
Peter Parker," To Tony Hey, what's going on?"
Dr. Stephen Strange, I think we're here.
Tony Stark, I don't think this rig has a self-park function. Urgently Get your hand into this steering gimbal. Close those around it. You understand?
Peter Parker," Yep, got it."
Tony Stark," This was meant for one big guy, so we gotta to move at the same time."
Peter Parker, Okay. Okay. Ready.
Peter Parker, We might wanna turn. Turn! Turn! Turn!!
Tony Stark, To Doctor Strange You alright? Panting That was close. I owe you one.
Peter Parker," Let me just say, if aliens wind up implanting eggs in my chest or something, and I eat one of you, I'm sorry."
Tony Stark, While pointing at Peter I don't wanna hear another single pop culture out of you for the rest of the trip. You understand?
Peter Parker, I'm trying to say that... something is coming.
Drax," Yelling THANOS!!!! He flings a blade at Doctor Strange, who neatly deflects it with a mystical shield, and in return sends the Cloak of Levitation at Drax's face, half-smothering him and throwing him to the floor. Star-Lord and Iron Man have a brief dogfight until a magnetic disc pins Iron Man face-first to a structure."
Peter Parker," Crawling backwards frantically from an anxious-looking Mantis AH! Whoa, whoa, whoa, whoa! PLEASE DON'T PUT YOUR EGGS IN ME!"
Peter Quill," Stay down, clown!"
Drax," Struggling with the Cloak of Levitation Die, blanket of death!"
Peter Quill," Alright, everybody, stay where you are... chill the F out. Star-Lord powers off his helmet I'm gonna ask you this one time. Where's Gamora?"
Tony Stark," De-helmeting Yeah, I'll do you one better. Who's Gamora?"
Drax, I'll do you one better! Why is Gamora?!
Peter Quill," Tell me where the girl is, or I swear to you, I'm gonna French-fry this little freak."
Tony Stark," Let's do it! You shoot my guy, I blast him. Let's go! Tony extends his nano-tech cannon, looking uncannily like an electric shark about to eat Drax's face."
Drax," Do it, Quill! I can take it."
Mantis," No, he can't take it!"
Dr. Stephen Strange, Completely deadpan She's right. You can't.
Peter Quill, Oh yeah? You don't wanna tell me where she is? That's fine. I'll kill all three of you and beat it out of Thanos myself. To Spider-Man Starting with you.
Dr. Stephen Strange," Wait, what. Thanos? Trying to inject clarity and sanity into the situation Alright, let me ask you this one time"
Peter Quill," What master do I serve? What am I supposed to say? ""Jesus""?"
Tony Stark, Getting it You're from Earth?
Peter Quill, I'm not from Earth. I'm from Missouri.
Tony Stark," Yeah, that's on EARTH, dip-shit. What are you hassling us for?"
Peter Parker," Sounding slightly crushed So, you're not with Thanos?"
Peter Quill," Indignantly WITH Thanos?! No, I'm here to kill Thanos! He took my girl. Wait... who are you?"
Peter Parker," De-helmets We're the Avengers, man."
Peter Quill, Oh.
Mantis, You're the ones Thor told us about!
Tony Stark, You know Thor!?
Peter Quill," Yeah. Tall guy, not that good-looking, Peter gives him an incredulous look needed saving."
Doctor Strange, Pause Where is he now?
Rocket, This is plan? We're gonna hit him with a brick?
Eitri," It's a mold. A king's weapon. Meant to be the greatest in Asgard. In theory, it could even summon the Bifrost."
Thor, Did it have a name?
Eitri, Stormbreaker.
Rocket, That's a bit much.
Thor, So how do we make it?
Eitri, You'll have to restart the forge. Awaken the heart of a dying star.
Thor," Rabbit, fire up the pod."
Peter Quill, The heck happened to this planet? It's eight degrees off its axis. Gravitational pull is all over the place.
Tony Stark," Yeah, we got one advantage. He's coming to us. We'll use it. All right, I have a plan. Or at least the beginnings of one. It's pretty simple. We draw him in, pin him down, get what we need. Definitely don't wanna dance with this guy. We just want the gauntlet."
Tony Stark," Are you yawning? In the middle of this, while I'm breaking it down? Huh? Did you hear what I said?"
Drax," I stopped listening after you said, ""We need a plan."""
Tony Stark," To Quill Okay, Mr. Clean is on his own page."
Peter Quill," See, ""not winging it"" isn't really what they do."
Peter Parker," Uh, what exactly is it that they do?"
Mantis," As fiercely as an 8-week-old kitten Kick names, take ass."
Drax," Yeah, that's right. Agrees quietly as he settles into a stance facing the remaining Avengers."
Tony Stark," Tony pauses with an expression of deep hopelessness Alright, just get over here, please. Mr. Lord, can you get your folks to circle up?"
Peter Quill," ""Mr. Lord."" Star-Lord is fine. Motions to Drax and Mantis,"
Tony Stark, We gotta coalesce. 'Cause if all we come at him with is a plucky attitude....
Peter Quill," Dude, don't call us plucky. We don't know what it means. Alright, we're optimistic, yes. I like your plan. Except it sucks, so let me do the plan, and that way it might be really good. Peter Parker follows the conversation back and forth like a squash rally."
Drax, Tell him about the dance-off to save the universe.
Tony Stark, What dance-off?
Peter Quill, It's not a... it's not... it's nothing.
Peter Parker," Like in Footloose, the movie?"
Peter Quill, Excitedly Exactly like Footloose. Is it still the greatest movie in history?
Peter Parker, It never was.
Tony Stark," Don't encourage this, alright?"
Peter Parker, Okay.
Tony Stark, We're getting no help from Flash Gordon here.
Peter Quill," Flash Gordon? By the way, that's a compliment. Don't forget, I'm half human. Quill points at Stark and Parker So that 50% of me that's stupid? That's 100% you."
Tony Stark, Your math is blowing my mind.
Mantis," Excuse me, but... does your friend often do that?"
Tony Stark, Strange! We alright?
Tony Stark, You're back. You're alright.
Peter Parker," Hey, what was that?"
Dr. Stephen Strange, Panting I went forward in time to view alternate futures. To see all the possible outcomes of the coming conflict.
Peter Quill, How many did you see?
Dr. Stephen Strange,"14,000,605."
Tony Stark, How many did we win?
Dr. Stephen Strange, Pause One.
Thanos, The stone had better be up there... for your sister's sake.
Stonekeeper," Welcome, Thanos, son of A'lars. Gamora, daughter of Thanos."
Thanos, You know us?
Stonekeeper, It is my curse to know all who journey here.
Thanos, Where's the Soul Stone?
Stonekeeper, You should know... it extracts a terrible price.
Thanos, I am prepared.
Stonekeeper," We all think that at first. The figure touches down and glides out of the shadows, revealing the face of who we know to be Johann ""The Red Skull"" Schmidt from Captain America"
Thanos, How is it you know this place so well?
Red Skull," A lifetime ago, I, too, sought the stones. I even held one in my hand. But it cast me out, banished me here. Guiding others to a treasure I cannot possess."
Red Skull, What you seek lies before you. As does what you fear.
Thanos, What's this?
Red Skull, The price. Soul hold a special place among the Infinity Stones. You might say it has a certain wisdom.
Thanos, Tell me what it needs.
Red Skull, To ensure that whoever possesses it... understands its power.... The stone demands a sacrifice.
Thanos, Of what?
Red Skull, In order to take the stone you must lose that which you love. A soul... for a soul.
Gamora," All my life, I dreamed of a day... a moment when you would get what you deserved. And I was always so disappointed. But now... you kill and torture... and you call it mercy. The universe has judged you. You asked it for a prize, and it told you no. You failed. And do you wanna know why? Because you love nothing. No one."
Thanos, Turns to face Gamora with tears in his eyes.
Gamora, Really? Tears?
Red Skull, They're not for him.
Gamora, No. This isn't love.
Thanos," Thoroughly convicted. I ignored my destiny once. I cannot do that again. Even for you. Gamora stares down unseeing for a moment, then up at the resolution on his face. She grabs the red-jeweled dagger from his belt with lightning reflexes, triggers the blades and stabs herself in the stomach... except it's only bubbles. I'm sorry, little one. He grabs Gamora by the arm and walks inexorably to the precipice."
Gamora, NO!
Steve Rogers," Walking up to the pilot's seat Drop to 2600, heading 0-3-0."
Sam Wilson," I hope you're right about this, Cap. Or we're gonna land a lot faster than you want to."
Okoye, Walking with King T'Challa and a band of the Kingsguard to the landing pad When you said we were going to open Wakanda to the rest of the world... this is not what I imagined.
King T'Challa, And what did you imagine?
Okoye, The Olympics. Maybe even a Starbucks.
Bruce Banner, To Rhodey Should we bow?
James Rhodes," Seriously Yeah, he's a king."
Steve Rogers, Seems like I'm always thanking you for something. Shaking hands with King T'Challa.
James Rhodes, Mock shocked What are you doing?
T'Challa," Uh, we don't do that here. He dissuades Bruce with a motion of his hand; Bruce shoots Rhodey a look, and is answered with a big grin So how big of an assault can we expect?"
Bruce Banner," Uh, sir, I think you can expect quite a big assault."
Natasha Romanoff, How we looking?
King T'Challa," You will have my Kingsguard, the Border Tribe, the Dora Milaje, and..."
Bucky Barnes," Smiling as he walks toward Steve, passing some Kingsguard taking Vision and Wanda to another facility A semi-stable, 100-year-old man."
Steve Rogers," How you been, Buck?"
Bucky Barnes," Uh, not bad, for the end of the world."
Shuri, Whoa. The structure is polymorphic.
Bruce Banner," Right, we had to attach each neuron non-sequentially."
Shuri, Why didn't you just reprogram the synapses to work collectively?
Bruce Banner," Uncertainly Because, we didn't think of it."
Shuri," Reassuringly, with a smile I'm sure you did your best."
Wanda Maximoff, Can you do it?
Shuri," Yes, but there are more than two trillion neurons here. One misalignment could cause a cascade of circuit failures. To King T'Challa It will take time, brother."
Steve Rogers, How long?
Shuri, As long as you can give me.
Okoye," Her kimoyo beads chime an alarm; she flicks one bead into her palm, where it projects the globe with a pulsing location marker Something's entered the atmosphere."
Sam Wilson," Over the Avengers' comm Hey, Cap, we got a situation here."
Bucky Barnes," God, I love this place."
James Rhodes," also outside, and now in full War Machine armor watching three more ships burn through the sky Yeah, don't start celebrating yet, guys. We got more incoming outside the dome."
Vision, Struggling to sit up and slide off the exam table It's too late. We need to destroy the stone now.
Natasha Romanoff," Moving toward Vision Vision, get your ass back on the table."
T'Challa," We will hold them off. He, Okoye and the guards head for the door."
Steve Rogers," To Wanda Wanda, as soon as the stone's out of his head... you blow it to hell."
Wanda Maximoff, I will.
King T'Challa," Evacuate the city. Engage all defense procedures. He stops, turns, and points at Steve And get this man a shield."
Rocket," I don't think you get the scientifics here. These rings are gigantic. You wanna get them moving, you're gonna need something a lot bigger to yank 'em loose."
Thor, Leave that to me.
Rocket," Leave that to you? Buddy, you're in space. All you got is a rope and a--"
Thor," Thor begins to swing the pod around him in a circle. Rocket screams. Thor builds up speed with three good loops then slacks his grip enough to send the pod shooting straight away from Nidavellir, trailing him behind it like a kite tail. Fire the engines!"
Rocket, Rocket shakes it off and puts the proverbial pedal to the metal. Nnnyah!
Thor," As the pod skims over the surface of the next ring out, Thor reaches down and digs one hand into the surface, then both feet, finally getting a foothold against the forward motion of the pod. The ice-like accumulation around the ring axis crackles. MORE... POWER... RABBIT!"
Eitri," Well done, boy."
Thor, That's Nivadellir!
Eitri, Damn it.
Rocket," ""Damn it""? What's ""damn it""?"
Eitri, The mechanism is crippled.
Thor, What?
Eitri, With the iris closed I can't heat the metal.
Thor, How long will it take to heat?
Eitri," A few minutes, maybe more. Why?"
Thor, Standing up on the pod hull I'm gonna hold it open.
Eitri, That's suicide.
Thor, So is facing Thanos without that ax. He leaps from the pod to the star's iris.
Natasha Romanoff," How we looking, Bruce?"
Bruce Banner," Leaping jogging along, keeping up with the carriers, and utterly delighted Yeah, I think I'm getting the hang of it. Wow! It's like being the Hulk without actually-- he stumbles on a rock, and a carrier goes by, from which Okoye gives him a dubious look. He stands I'm okay. I'm okay."
James Rhodes, I got two heat signatures breaking through the tree line.
Jabari Warriors," MIE EFFA! Win them! YA HU! MIE EFFA! YA HU! MIE EFFA! YA HU! MIE EFFA! YA HU! MIE EFFA! YA HU! M'Baku, Lord of the Jabari, rallies his soldiers with a war chant. He stops as King T'Challa nears him."
King T'Challa, Clasps wrists with M'Baku Thank you for standing with us.
M'Baku," Translated from Xhosa Of course, brother."
Natasha Romanoff, Where's your other friend?
Proxima Midnight, You will pay for his life with yours. Thanos will have that stone.
Steve Rogers, That's not gonna happen.
King T'Challa, You are in Wakanda now. Thanos will have nothing but dust and blood.
Proxima Midnight," We... have blood to spare. She brandishes her sword with a snarl, and the ships behind her start raising their outer hulls to allow their ""passengers"" to disembark."
Bucky Barnes, A touch sardonically Did they surrender?
Steve Rogers, Not exactly.
Bucky Barnes," Flatly, astonished at the numbers of Outriders What the hell."
Natasha Romanoff, Looks like we pissed her off.
Okoye," Horrified, as the Outriders bombard the force-field, squeezing limbs and bodies partly through only to be bisected. They're killing themselves."
Sam Wilson," Sending Redwings into the fight as he flies, swooping to fire at them with his Steyr pistols You seen the teeth on those things?"
James Rhodes," Alright, back up, Sam. You're gonna get your wings singed. He flies over the heaviest concentration of Outriders and drops a barrage of mines, all exploding fantastically."
Bruce Banner," Cap, if these things circle the perimeter and get in behind us... there's nothing between them and Vision."
Steve Rogers, Grimly Them we better keep 'em in front of us.
Okoye, To the Black Panther How do we do that?
King T'Challa," We open the barrier. Putting his comm to his mouth On my signal, open North-West Section Seventeen."
Dome Control," Nervous and unsure Requesting confirmation, my King. You said open the barrier?"
King T'Challa, On my signal.
M'Baku, To Okoye This will be the end of Wakanda.
Okoye, Then it will be the noblest ending in history.
King T'Challa," WAKANDA FOREVER! He crosses his arms in the Wakandan salute and closes his Black Panther helmet, charging for the barrier. The heroes and leaders are at the fore of the charge. Halfway to the barrier, the Black Panther shouts into his comm Now!"
King T'Challa," Over his comm How much longer, Shuri?"
Shuri," We've barely begun, brother. A delicate and intricate construction of gold light hovers at her eye level; as she manipulates it, the waldo tools reproduce her commands on the Mind Stone itself."
King T'Challa, You might want to pick up the pace.
Thor," Allfathers, give me strength."
Eitri," You understand, boy? You're about to take the full force of a star. It'll kill you."
Thor, Only if I die. Takes deep breaths.
Eitri," Boggled Yes. That's what... ""killing you"" means."
Eitri," Hold it! Hold it, Thor!"
Rocket," Kneeling over Thor Thor! Say something. Come on. Thor, you okay? Thor looks far from ""okay""."
Rocket, I think he's dying!
Eitri," He needs the ax! Where's the handle? Tree, help me find the handle!"
Bruce Banner, There’s too many of them! GYAH! AAAAHHHHH!
Bruce Banner, Opening the Hulkbuster's helm and laughing with joy AH-hahaha! You guys are so screwed now!
Thor,"  BRING ME THANOS! He charges toward the hordes of Outriders, followed by Groot and Rocket, lightning gathering around him until he finally launches himself into the air, lands in the densest concentration of Outriders and makes a crater where they had stood."
Dr. Stephen Strange," Sitting on what may have been plaza steps once Oh, yeah, you're much more of a ""Thanos."""
Thanos," I take it the Maw is dead. This day extracts a heavy toll. Still, he accomplished his mission."
Dr. Stephen Strange, You may regret that. He brought you face-to-face with the Master of the Mystic Arts.
Thanos," And where do you think he brought you? Star-Lord crouches behind wreckage with his weapon ready, behind Thanos and to his left; Spider-Man peeks from above and behind Doctor Strange."
Dr. Stephen Strange, Let me guess. Your home?
